"County.Name","NumPermits","LaborGrowthRate","LaborChange","PopGrowthRate","PopChange","MedRentGrowthRate","MedRentChange","HighRentGrowthRate","HighRentChange","LowRentGrowthRate","LowRentChange","LowHouseGrowthRate","LowHouseChange","MedHouseGrowthRate","MedHouseChange","HighHouseGrowthRate","HighHouseChange","WhiteOwnerGrowthRate","WhiteOwnerChange","BlackOwnerGrowthRate","BlackOwnerChange","LatinoOwnerGrowthRate","LatinoOwnerChange","Income1GrowthRate","Income1Change","Income2GrowthRate","Income2Change","Income3GrowthRate","Income3Change","Income4GrowthRate","Income4Change","Income5GrowthRate","Income5Change","LaborRatio","PopRatio"
"Sacramento County",23204,0.0811452072129073,51300,0.0512150437468153,74276,0.229580573951435,208,0.177100494233937,215,0.184210526315789,133,0.619736015084852,98600,0.487949260042283,115400,0.339954597048808,119800,0.0183651439598021,3845,0.0478403028738599,834,0.16675041654545,6305,0.19958118556701,2478,0.212148603452951,7041,0.207978989494747,11641,0.201155858099002,17612,0.215367084486407,38367,2.2108257197035,3.20099982761593
"San Benito County",2639,0.154716981132075,4100,0.0613134580227816,3488,0.187665198237885,213,0.152116402116402,230,0.118292682926829,97,0.699842643587726,177900,0.543952967525196,194300,0.415292949354518,209100,0.0565310492505353,528,0.469879518072289,39,0.0957264957264957,392,0.389887705824169,6701,0.332651556591433,13987,0.287184463164704,19534,0.222318956831365,22727,0.290956601991758,54225,1.55361879499811,1.32171276998863
"San Bernardino County",28957,0.103255162758138,88500,0.0338908277069123,70445,0.160493827160494,156,0.176516942474389,224,0.113941018766756,85,0.623777276147479,82900,0.456078083407276,102800,0.316408491107286,110300,0.000610682418754736,162,-0.0357619428876434,-804,0.138539606731092,18565,0.228123964202851,2753,0.180832049306626,5868,0.171015184620752,9314,0.157458071714282,13266,0.176298034614256,28848,3.05625582760645,2.43274510481058
"San Diego County",56040,0.0490915323962976,71600,0.0417606120742926,132930,0.250604351329573,311,0.174575278265964,298,0.219047619047619,207,0.403259361997226,116300,0.365552325581395,150900,0.219088591459528,137500,0.0166622090314565,7725,0.052323810684047,859,0.124918221288238,12602,0.321439103509289,4360,0.253184292584959,9581,0.233907214731178,15040,0.211093914809302,21414,0.235065043827815,50523,1.27765881513205,2.3720556745182
"San Francisco County",22875,0.107073455110766,55100,0.0553498369261053,45889,0.23489477257298,346,0.383308345827086,767,0.142697881828317,128,0.42174688057041,236600,0.433720778372731,332100,0.615098384901615,615099,0.00410092840462494,288,-0.16857544705646,-839,-0.0583173120937471,-637,0.33259587020649,4059,0.44185473538977,17934,0.436735314233604,34482,0.430470534490635,56538,0.389141496509883,119303,2.40874316939891,2.00607650273224
"San Joaquin County",15252,0.104960460100647,29200,0.059272519791741,41553,0.144009216589862,125,0.17944397641112,213,0.128508124076809,87,0.753720238095238,101300,0.619025082820634,130800,0.467910211824217,148000,0.00422563238168815,361,-0.0283419933868682,-180,0.147906013334196,4570,0.187946074544013,2370,0.218388637506285,6950,0.213629673789519,11467,0.203734322224059,17251,0.232544465676907,39550,1.9145030159979,2.72442958300551
"San Luis Obispo County",5895,0.0129573170731707,1700,0.029108190120503,7981,0.201957295373665,227,0.208445040214477,311,0.172494172494172,148,0.404861111111111,116600,0.346785546691694,147800,0.18875313283208,120500,0.0951905988175982,5249,-0.218181818181818,-108,0.332655325443787,1799,0.244983019450448,3174,0.253855278766311,8988,0.231346394330971,13875,0.214627951894655,20113,0.214891862552712,41175,0.288379983036472,1.35385920271416
"San Mateo County",9106,0.0793269230769231,33000,0.0372865915059669,27586,0.400889453621347,631,0.452773613193403,906,0.350789692435578,422,0.471585615800261,253100,0.478555917480999,352600,0.697498302501698,697499,-0.0387292189460477,-3951,-0.0345075485262401,-96,0.056188007213706,997,0.206757438224912,4510,0.312087399540758,17397,0.340915015641293,31386,0.35478882030654,51157,0.323695901089665,110536,3.62398418625082,3.02943114430046
"Santa Barbara County",6062,0.0564635958395245,11400,0.0307585359919361,13274,0.207576953433307,263,0.121606334841629,215,0.215642458100559,193,0.384833738848337,94900,0.293169092945129,130900,0.17578078257748,146900,0.0203905304993952,1298,0.0849825378346915,73,0.147092705996483,2426,0.217004624688723,3050,0.211233539371137,7860,0.184991740737827,11759,0.184984543204477,18610,0.185536432279783,43099,1.88056746948202,2.18970636753547
"Santa Clara County",42866,0.0789915966386555,75200,0.0466455506147204,85901,0.402336145360156,620,0.406813627254509,812,0.3515625,405,0.535610627372181,239900,0.481704562565879,319900,0.582494029695774,561000,-0.0673956845603051,-14015,-0.0910560344827586,-507,-0.00637709314356906,-302,0.282224612075588,5511,0.322961846651474,17573,0.318981162111966,30056,0.315009302864464,46221,0.334393983222447,102884,1.75430411048383,2.00394251854617
"Santa Cruz County",2377,0.0308300395256917,3900,0.0252953746776795,6759,0.211755840241145,281,0.200782997762864,359,0.177470775770457,167,0.453824362606232,160200,0.352278820375335,197100,0.280030999741669,216800,0.0190405994717769,930,0.215094339622642,57,0.140461497182721,1047,0.188966116420504,2610,0.216269226798803,8380,0.232910076483255,15683,0.247911563928961,26620,0.302455543910022,68681,1.64072360117796,2.84350021034918
"Shasta County",2249,0.0297176820208024,2000,0.00387631637911719,692,0.112751677852349,84,0.115230460921844,115,0.108156028368794,61,0.192932862190813,27300,0.180627047262518,38600,0.1340625,42900,0.0325935009196812,1329,0.472727272727273,52,0.316449348044132,631,0.117679355783309,1286,0.209877465630604,5618,0.23545625672284,10507,0.233446689337868,16338,0.26609547123623,38045,0.889284126278346,0.307692307692308
"Sierra County",33,0.0583333333333333,70,0.00695594567737661,21,0.0777777777777778,56,-0.0431965442764579,-40,0.216269841269841,109,0.0458015267175573,4800,0.182422074603986,35700,0.0919345741680767,32600,-0.00418410041841004,-4,NA,0,1.52941176470588,52,0.0980125238224884,1080,0.201034737620103,5168,0.236763124888013,10571,0.217174529584688,16770,0.174327321448316,26803,2.12121212121212,0.636363636363636
"Siskiyou County",323,-0.0122422680412371,-190,-0.0179164501479858,-793,0.0384615384615385,25,0.0506634499396864,42,0.106575963718821,47,0.0425894378194208,5000,0.0728155339805825,13500,0.0741643454038997,21300,0.0154132341217114,174,0.252252252252252,28,0.154381084840056,111,0.13731030873888,1312,0.268914133284275,5847,0.221799712811785,8341,0.200563660477454,12098,0.336408189140205,41392,-0.588235294117647,-2.45510835913313
"Solano County",6010,0.046267087276551,8800,0.0479218450562587,20205,0.226643598615917,262,0.217736598279285,329,0.155902004454343,140,0.782782212086659,137300,0.543626707132018,143300,0.406225270377209,154000,0.049618933728381,2780,-0.0668395849960096,-670,0.248801194874617,3165,0.2660573911932,4163,0.218017326198075,9085,0.20029385836027,13632,0.179992924111091,18315,0.219018930612288,41662,1.46422628951747,3.36189683860233
"Sonoma County",9089,0.030692658647864,7400,0.0162305048902987,7982,0.238055322715842,284,0.22003804692454,347,0.182702702702703,169,0.47612551159618,139600,0.470687575392039,195100,0.315044529262087,198100,0.0272842130595219,2721,0.17379679144385,130,0.12210819272917,1404,0.250559570250048,3918,0.28144413891435,11054,0.265930437220604,17073,0.255399945317009,25221,0.274039729383729,57154,0.81417097590494,0.878204422928815
"Stanislaus County",3617,0.0631182289213377,13400,0.0390211058275344,20400,0.164648910411622,136,0.157598499061914,168,0.159574468085106,105,0.77603305785124,93900,0.66248574686431,116200,0.426765799256506,114800,0.0382913267686256,3037,0.223637650389243,316,0.149233695044188,4002,0.30181660899654,3489,0.256364373016409,7593,0.234309369951535,11603,0.202463344611914,15797,0.195665105682825,30919,3.70472767486868,5.64003317666574
"Sutter County",633,0.0952380952380952,3600,0.010960690881168,1042,0.133074935400517,103,0.105815061963775,111,0.0960264900662252,58,0.528882220555139,70500,0.473628691983122,89800,0.359195402298851,1e+05,-0.0183192590574775,-269,0.242105263157895,69,0.0206671501087745,57,0.126310919185688,1638,0.149363462762572,4693,0.15013654058451,7752,0.156047704411911,12535,0.131027894758302,22495,5.68720379146919,1.64612954186414
"Tehama County",654,0.071204657411554,1590,0.00992351937298527,628,0.023598820058997,16,0.100591715976331,85,0.00390625,2,0.452471482889734,47600,0.267762771579565,45600,0.170517051705171,46500,-0.0119772773937444,-175,Inf,60,0.0866299449173761,173,-0.0274296731224257,-313,-0.0212582159624413,-566,0.0483415666901905,2055,0.104443901843487,6844,0.202646406405787,26219,2.43119266055046,0.960244648318043
"Trinity County",203,-0.0675675675675676,-300,-0.0603033666296707,-815,0.0463378176382661,31,-0.0376470588235294,-32,0.0169133192389006,8,0.107643312101911,16900,0.112959381044487,29200,0.0731901352426412,27600,-0.0497566252028123,-184,Inf,24,0.491935483870968,61,-0.140914954847673,-1420,0.0426900332369318,989,0.0703038891513147,2679,-0.00893038043732369,-573,0.0644106422333393,8253,-1.47783251231527,-4.01477832512315
"Tulare County",8397,0.0437828371278459,7500,0.0239188841696445,10790,0.120411160058737,82,0.107587768969422,95,0.107421875,55,0.309925093632959,33100,0.273291925465839,44000,0.199102407180743,48800,-0.0336968527824017,-2166,-0.0465793304221252,-32,0.174770326854572,5593,0.0954086923729612,1012,0.150768034221272,3877,0.158203895892828,6814,0.164390748648294,11280,0.208862797213336,30490,0.893176134333691,1.28498273192807
"Tuolumne County",353,-0.0050761421319797,-100,-0.00555688446464386,-302,0.081924577373212,63,0.150156412930136,144,-0.013986013986014,-8,0.264759586122946,43500,0.101294744859101,26600,0.079914757591902,30000,0.0295636808481718,435,0.266666666666667,8,0.424418604651163,365,0.0602769256280574,727,0.182660219301233,5364,0.26484871124393,12762,0.295908904950225,21699,0.435908256634916,65075,-0.28328611898017,-0.855524079320113
"Ventura County",9271,0.00919254658385093,3700,0.0137271324136446,11473,0.188436830835118,264,0.152514872904273,282,0.215609756097561,221,0.369971491922711,116800,0.322841726618705,143600,0.158754623921085,103000,0.00330284905424721,476,0.126815101645692,262,0.0607879827433858,2339,0.163739224137931,3039,0.157853330781825,7424,0.141237551693485,10963,0.134009555686144,15735,0.160986927969174,38855,0.399093948872829,1.23751483119405
"Yolo County",3495,0.086864406779661,8200,0.0646055583311292,13190,0.196606786427146,197,0.195085629188384,262,0.168021680216802,124,0.478852698104035,98500,0.337425243940825,107200,0.32013133593269,156000,0.0367624657256017,1086,-0.0434027777777778,-25,0.0495175936435868,349,0.109140271493213,1206,0.27045840952106,8431,0.237722029580355,13437,0.209001853322743,19735,0.280693831880742,55942,2.34620886981402,3.77396280400572
"Yuba County",1736,0.151020408163265,3700,0.0451826605893867,3301,0.121657754010695,91,0.0872794800371402,94,0.0734265734265734,42,0.538033395176252,58000,0.505269320843091,86300,0.385265700483092,95700,0.16549951245457,1867,0.117154811715481,56,0.249500199920032,624,0.128977078344167,1508,0.263474791439971,7264,0.267024813404082,12128,0.317939351771323,21934,0.302645238336833,38774,2.13133640552995,1.90149769585253
